state,income,abb
alabama,16.65693105,AL
alaska,13.00418607,AK
arizona,18.4318488,AZ
arkansas,20.31778982,AR
california,25.30569159,CA
colorado,20.64812179,CO
connecticut,33.00785479,CT
delaware,15.28275087,DE
district of columbia,23.85213611,DC
florida,29.52645841,FL
georgia,18.19657794,GA
hawaii,12.50677806,HI
idaho,17.08527564,ID
illinois,22.37840367,IL
indiana,15.48905066,IN
iowa,14.62344187,IA
kansas,18.06811932,KS
kentucky,15.26235376,KY
louisiana,18.86653034,LA
maine,14.36043666,ME
maryland,15.52842899,MD
massachusetts,25.07241402,MA
michigan,19.7339758,MI
minnesota,18.60786317,MN
mississippi,15.04429749,MS
missouri,18.65217211,MO
montana,18.71734344,MT
nebraska,17.26932025,NE
nevada,29.8995843,NV
new hampshire,17.85643985,NH
new jersey,20.79266771,NJ
new mexico,15.16660323,NM
new york,31.85882916,NY
north carolina,16.6454685,NC
north dakota,20.27059812,ND
ohio,17.03067934,OH
oklahoma,20.38821932,OK
oregon,16.37878853,OR
pennsylvania,19.18417545,PA
rhode island,17.43608126,RI
south carolina,16.72194616,SC
south dakota,19.5327274,SD
tennessee,18.78976407,TN
texas,24.00827441,TX
utah,18.92037593,UT
vermont,14.99576167,VT
virginia,16.67515211,VA
washington,20.66319622,WA
west virginia,13.68477268,WV
wisconsin,17.707817,WI
wyoming,29.7032815,WY
